x y mag_blue mag_red color
3574.184 5027.275 19.587 19.125 0.463
5151.589 5028.035 18.203 17.564 0.639
5322.453 5028.527 20.169 19.732 0.437
2647.102 5030.209 19.604 19.147 0.457
6525.456 5030.089 18.495 17.882 0.613
6098.621 5036.299 19.679 19.233 0.446
6579.877 5035.823 19.906 19.477 0.429
6525.247 5051.558 19.676 19.421 0.255
3918.947 5053.013 19.835 19.404 0.431
7507.759 5056.925 19.517 19.053 0.464
4869.056 5061.141 19.849 19.408 0.440
4964.687 5062.224 19.410 18.906 0.505
5232.866 5065.169 19.743 19.292 0.451
2312.750 5069.464 19.962 19.524 0.438
4710.312 5076.146 20.118 19.681 0.437
4446.074 5076.985 18.993 18.382 0.610
6785.699 5076.673 19.665 19.227 0.438
7506.739 5078.289 19.694 19.254 0.440
5542.861 5080.757 19.708 19.265 0.443
5054.432 5084.725 20.120 19.684 0.436
3608.652 5087.023 16.583 15.882 0.701
5388.079 5089.448 19.147 18.581 0.566
6518.557 5093.760 19.623 19.172 0.451
4582.723 5112.387 19.737 19.286 0.451
5498.087 5111.751 19.444 18.959 0.485
5153.422 5115.120 19.988 19.552 0.437
3574.865 5125.788 19.265 18.722 0.543
5554.692 5129.340 19.369 18.865 0.504
6205.820 5129.440 19.308 18.797 0.511
3776.143 5135.115 19.740 19.297 0.443
4772.522 5140.855 20.104 19.662 0.442
6442.341 5143.776 19.544 19.083 0.460
2788.872 5178.474 19.547 19.080 0.467
3800.108 5180.025 19.599 19.142 0.458
4466.934 5184.846 19.777 19.323 0.454
6702.893 5185.840 19.567 19.092 0.474
4858.207 5187.507 18.484 17.835 0.648
5560.406 5196.330 20.119 19.686 0.432
4857.179 5197.127 18.743 18.099 0.643
2719.800 5197.766 18.969 18.369 0.599
3790.185 5197.942 19.527 19.060 0.467
2405.130 5204.314 19.969 19.539 0.430
5037.797 5208.733 17.764 17.081 0.683
6390.649 5209.182 17.845 17.187 0.657
5455.960 5212.328 19.298 18.779 0.519
3144.271 5215.782 19.367 19.133 0.234
5911.689 5220.290 19.088 18.949 0.139
4634.048 5220.699 18.794 18.173 0.621
2646.174 5221.841 19.229 18.684 0.545
5916.123 5222.248 19.516 19.050 0.466
6455.973 5223.226 19.710 19.266 0.444
7382.961 5228.996 19.874 19.437 0.436
5565.190 5232.785 18.840 18.230 0.610
2317.269 5240.893 18.617 17.986 0.630
5327.692 5247.171 17.585 16.931 0.654
6467.342 5249.619 19.809 19.376 0.433
7533.562 5272.103 20.102 19.683 0.419
5742.438 5279.643 18.958 18.360 0.598
4327.998 5287.200 19.908 19.475 0.434
5221.605 5290.198 19.200 18.620 0.580
6446.755 5290.458 18.960 18.699 0.261
4607.845 5291.858 17.377 16.706 0.671
6427.587 5295.681 19.736 19.300 0.436
6822.109 5299.794 22.694 22.001 0.693
6095.627 5306.607 15.755 14.988 0.767
5306.650 5309.737 20.129 19.702 0.427
5472.481 5313.929 20.124 19.689 0.434
6386.226 5314.092 17.446 16.779 0.667
4991.327 5316.150 19.801 19.352 0.449
4663.149 5332.114 19.922 19.490 0.432
4802.590 5332.173 19.994 19.562 0.432
3722.240 5333.701 19.282 18.748 0.535
4883.427 5340.562 19.997 19.570 0.427
4255.098 5355.341 17.661 17.008 0.654
6313.248 5361.401 19.506 19.036 0.470
2615.606 5366.217 19.681 19.225 0.456
5001.397 5367.237 19.266 18.728 0.538
6566.374 5373.413 20.134 19.713 0.421
7032.230 5377.552 18.775 18.161 0.614
7123.050 5400.482 19.991 19.569 0.423
4229.304 5415.047 20.172 19.733 0.440
3041.982 5417.561 14.985 14.188 0.797
2465.701 5430.301 19.915 19.475 0.440
6461.185 5430.533 19.648 19.200 0.449
2447.992 5437.044 19.034 18.442 0.592
3547.407 5461.061 19.699 19.257 0.442
5119.970 5461.575 19.208 18.656 0.552
4314.799 5462.785 20.222 19.792 0.431
6414.324 5472.939 19.541 19.084 0.457
6057.112 5479.206 17.108 16.427 0.681
7745.272 5479.807 19.765 19.334 0.432
4505.839 5482.447 19.995 19.560 0.434
7283.529 5498.105 17.171 16.507 0.663
4849.701 5502.725 20.087 19.648 0.439
5551.925 5504.930 20.032 19.596 0.436
3680.407 5507.708 20.077 19.644 0.433
3545.608 5511.221 19.926 19.490 0.436
4566.254 5512.754 19.848 19.414 0.434
5370.136 5515.002 19.719 19.268 0.451
7302.164 5520.303 19.462 19.019 0.443
2639.774 5537.729 15.911 15.161 0.750
6892.766 5540.564 20.120 19.689 0.431
